,lib,sampleNames,condition,plate_well,RNAID,tissue,animalID,sex,cohort,age_days,RNA_batch,RNA_extractor,cDNA_batch,seq_batch,file
K18_1,K18_1,K18,SkinM134,K18,R103,Skin,D12,M,2,134,2,IG,1,1,K18_CKDL240007483-1A_22553JLT4_L7.featureCounts
K5_1,K5_1,K5,LiverM134,K5,R11,Liver,D12,M,2,134,2,EC,1,1,K5_CKDL240007483-1A_22553JLT4_L7.featureCounts
E24_1,E24_1,E24,GonadM133,E24,184,Testis,P_1A_6,M,1A,133,2,JC,1,1,E24_CKDL240007483-1A_22553JLT4_L7.featureCounts
C10_2,C10_2,C10,SpinalCordM147,C10,RNA425,SpinalCord,P_1B_11,M,1B,147,1,EC,2,2,C10_CKDL240007484-1A_22553JLT4_L6.featureCounts
C16_2,C16_2,C16,HeartM147,C16,R237,Heart,P_1B_11,M,1B,147,2,EC,2,2,C16_CKDL240007484-1A_22553JLT4_L6.featureCounts
D10_2,D10_2,D10,SpinalCordF147,D10,RNA426,SpinalCord,P_1B_4,F,1B,147,2,JC,2,2,D10_CKDL240007484-1A_22553JLT4_L6.featureCounts
F06_2,F06_2,F06,FatM147,F06,RNA538,Fat,P_1B_8,M,1B,147,2,EC,2,2,F6_CKDL240007484-1A_22553JLT4_L6.featureCounts
F14_2,F14_2,F14,HeartF147,F14,R208,Heart,J_1B_7,F,1B,147,1,JC,2,2,F14_CKDL240007484-1A_22553JLT4_L6.featureCounts
F20_2,F20_2,F20,SpleenF147,F20,RNA350,Spleen,J_1B_7,F,1B,147,2,EC,2,2,F20_CKDL240007484-1A_22553JLT4_L6.featureCounts
F24_2,F24_2,F24,BrainF147,F24,R76,Brain,J_1B_7,F,1B,147,2,IG,2,2,F24_CKDL240007484-1A_22553JLT4_L6.featureCounts
G20_2,G20_2,G20,SpleenM147,G20,RNA351,Spleen,P_1B_11,M,1B,147,2,EC,2,2,G20_CKDL240007484-1A_22553JLT4_L6.featureCounts
G24_2,G24_2,G24,BrainF147,G24,R77,Brain,P_1B_4,F,1B,147,2,IG,2,2,G24_CKDL240007484-1A_22553JLT4_L6.featureCounts
H03_2,H03_2,H03,BoneF147,H03,RNA611,Bone,P_1B_4,F,1B,147,3,EC,2,2,H3_CKDL240007484-1A_22553JLT4_L6.featureCounts
