Sample	Unique Reads	Duplicate Reads
G3_CKDL240007483-1A_225CVMLT4_L2_2_val_2	4669751.0	4533992.0
G4_CKDL240007483-1A_225CVMLT4_L2_1_val_1	3787787.0	2960294.0
G4_CKDL240007483-1A_225CVMLT4_L2_2_val_2	3736804.0	3011277.0
G5_CKDL240007483-1A_225CVMLT4_L2_1_val_1	3357623.0	6548507.0
G5_CKDL240007483-1A_225CVMLT4_L2_2_val_2	3228911.0	6677219.0
G6_CKDL240007483-1A_225CVMLT4_L2_1_val_1	3132474.0	5914004.0
G6_CKDL240007483-1A_225CVMLT4_L2_2_val_2	3055824.0	5990654.0
G7_CKDL240007483-1A_225CVMLT4_L2_1_val_1	3164661.0	5134764.0
G7_CKDL240007483-1A_225CVMLT4_L2_2_val_2	3114720.0	5184705.0
G8_CKDL240007483-1A_225CVMLT4_L2_1_val_1	3881330.0	4474491.0
G8_CKDL240007483-1A_225CVMLT4_L2_2_val_2	3782610.0	4573211.0
G9_CKDL240007483-1A_225CVMLT4_L2_1_val_1	6113093.0	4320530.0
G9_CKDL240007483-1A_225CVMLT4_L2_2_val_2	5996876.0	4436747.0
H10_CKDL240007483-1A_225CVMLT4_L2_1_val_1	4334354.0	2718710.0
