Sample	Unassigned_Read_Type	Unassigned_Duplicate	Unassigned_Singleton	Unassigned_NoFeatures	Assigned	Unassigned_Unmapped	percent_assigned	Unassigned_Ambiguity	Total	Unassigned_NonSplit	Unassigned_Overlapping_Length	Unassigned_MappingQuality	Unassigned_FragmentLength	Unassigned_MultiMapping	Unassigned_Chimera	Unassigned_Secondary
F16_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	3888024	9192531	0	70.03758436100492	44585	13125140	0	0	0	0	0	0	0
F17_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	3747273	14783044	0	79.45495023075621	75250	18605567	0	0	0	0	0	0	0
F18_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	3712696	11041977	0	74.52879607125378	61046	14815719	0	0	0	0	0	0	0
F19_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	2497800	11889235	0	82.34456929980311	51361	14438396	0	0	0	0	0	0	0
F1_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	2108889	5809003	0	73.0619231236528	32902	7950794	0	0	0	0	0	0	0
F20_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	2333298	10311876	0	81.18441231092335	56619	12701793	0	0	0	0	0	0	0
F21_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	4990282	9640972	0	65.64371299785378	55563	14686817	0	0	0	0	0	0	0
F22_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	4788981	12473107	0	71.9973930390726	62299	17324387	0	0	0	0	0	0	0
F23_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	5566662	11224501	0	66.5931647160973	64172	16855335	0	0	0	0	0	0	0
F24_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	5801301	10415537	0	63.988733402952434	60304	16277142	0	0	0	0	0	0	0
F2_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	2965980	11232243	0	78.74148563012997	66485	14264708	0	0	0	0	0	0	0
F3_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	4734997	10668687	0	68.91329033958344	77636	15481320	0	0	0	0	0	0	0
F5_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	2652035	6101316	0	69.59115347322397	14022	8767373	0	0	0	0	0	0	0
F6_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	3648712	6118571	0	62.5266055615894	18265	9785548	0	0	0	0	0	0	0
F7_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	1704128	10437707	0	85.79603413591072	23887	12165722	0	0	0	0	0	0	0
F9_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	4165533	11336547	0	72.54655560633798	124502	15626582	0	0	0	0	0	0	0
G10_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	4120582	12809932	0	75.14149964458645	117232	17047746	0	0	0	0	0	0	0
G11_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	4138288	13016132	0	75.35388496688451	118919	17273339	0	0	0	0	0	0	0
G13_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	4810603	9110087	0	65.22674454278959	46107	13966797	0	0	0	0	0	0	0
G14_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	6223763	10017009	0	61.47801182608311	52873	16293645	0	0	0	0	0	0	0
G15_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	4714946	9351960	0	66.26065076144455	46991	14113897	0	0	0	0	0	0	0
G16_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	4731252	11655576	0	70.89269225826193	54325	16441153	0	0	0	0	0	0	0
G17_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	4181843	16818673	0	79.76541332130593	84654	21085170	0	0	0	0	0	0	0
G18_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	2449758	10919314	0	81.34439746237213	54488	13423560	0	0	0	0	0	0	0
G19_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	3632058	12622815	0	77.3340042287733	67591	16322464	0	0	0	0	0	0	0
G1_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	1949017	6100200	0	75.48807005855207	31795	8081012	0	0	0	0	0	0	0
G20_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	2952316	12076729	0	80.03119013430592	60983	15090028	0	0	0	0	0	0	0
G21_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	7521475	13300323	0	63.63499527796742	79159	20900957	0	0	0	0	0	0	0
G22_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	5135044	10774602	0	67.45163867523719	64172	15973818	0	0	0	0	0	0	0
G23_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	7401275	14940293	0	66.6145605961913	86401	22427969	0	0	0	0	0	0	0
G24_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	4603120	7299768	0	61.115480030049675	41333	11944221	0	0	0	0	0	0	0
G2_CKDL240007484-1A_22553JLT4_L6_UniquelyMapped	0	0	0	3219667	9930980	0	75.15308754871793	63687	13214334	0	0	0	0	0	0	0
