Sample	Unassigned_Duplicate	Unassigned_Read_Type	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_FragmentLength	Assigned	Unassigned_NonSplit	Unassigned_MappingQuality	Unassigned_Singleton	Unassigned_Chimera	Unassigned_Unmapped	Unassigned_NoFeatures	Unassigned_Overlapping_Length	percent_assigned	Total	Unassigned_Ambiguity
F23_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	21869052	0	0	0	0	0	3571315	0	85.4809793644583	25583530	143163
F24_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	12476096	0	0	0	0	0	2013481	0	85.73205201688323	14552429	62852
F2_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	9941534	0	0	0	0	0	2064843	0	82.49569557578462	12050973	44596
F3_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	14049602	0	0	0	0	0	2897286	0	82.60429984905034	17008318	61430
F4_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	10988300	0	0	0	0	0	2092610	0	83.715782165414	13125721	44811
F5_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	10975164	0	0	0	0	0	1993224	0	84.30542242069782	13018337	49949
F6_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	12584427	0	0	0	0	0	1964497	0	86.08342202005434	14618874	69950
F7_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	11673946	0	0	0	0	0	1920408	0	85.57208656997284	13642236	47882
F8_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	11163683	0	0	0	0	0	1992596	0	84.51841908819873	13208580	52301
F9_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	16627075	0	0	0	0	0	3724690	0	81.32498725986017	20445223	93458
G10_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	13915065	0	0	0	0	0	3517325	0	79.43003918739596	17518643	86253
G11_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	10688529	0	0	0	0	0	3156357	0	76.84637316802403	13908957	64071
G12_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	13927792	0	0	0	0	0	3541045	0	79.35131044139939	17552063	83226
G13_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	11350228	0	0	0	0	0	2087870	0	84.08854442171506	13497948	59850
G14_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	14785918	0	0	0	0	0	3498779	0	80.5354849669983	18359507	74810
G15_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	12486414	0	0	0	0	0	1890295	0	86.50823837903651	14433786	57077
G16_CKDL240007483-1A_225CVMLT4_L2_UniquelyMapped	0	0	0	0	0	12190190	0	0	0	0	0	2886338	0	80.54596228525486	15134452	57924
