Sample	Unique Reads	Duplicate Reads
K17_ME_1_val_1	10165318.0	7793803.0
K17_ME_2_val_2	9978013.0	7981108.0
K18_ME_1_val_1	10513725.0	7886330.0
K18_ME_2_val_2	10303515.0	8096540.0
K19_ME_1_val_1	11046793.0	9751957.0
K19_ME_2_val_2	10753203.0	10045547.0
K1_ME_1_val_1	10446941.0	11223925.0
K1_ME_2_val_2	10092332.0	11578534.0
K20_ME_1_val_1	7627338.0	6996288.0
K20_ME_2_val_2	7471002.0	7152624.0
K21_ME_1_val_1	12321325.0	8465903.0
K21_ME_2_val_2	11945530.0	8841698.0
K22_ME_1_val_1	11789582.0	7378445.0
K22_ME_2_val_2	11588306.0	7579721.0
K23_ME_1_val_1	9277472.0	5540377.0
K23_ME_2_val_2	9119830.0	5698019.0
K2_ME_1_val_1	10112793.0	9193353.0
K2_ME_2_val_2	9842982.0	9463164.0
K3_ME_1_val_1	10627331.0	9863191.0
K3_ME_2_val_2	10486677.0	10003845.0
K4_ME_1_val_1	7924929.0	6350613.0
K4_ME_2_val_2	7755473.0	6520069.0
K5_ME_1_val_1	5931754.0	13840428.0
K5_ME_2_val_2	5744374.0	14027808.0
K6_ME_1_val_1	6668866.0	10738706.0
K6_ME_2_val_2	6521149.0	10886423.0
K7_ME_1_val_1	4656800.0	14683239.0
K7_ME_2_val_2	4366016.0	14974023.0
K8_ME_1_val_1	7324458.0	8451818.0
K8_ME_2_val_2	7203466.0	8572810.0
K9_ME_1_val_1	12126029.0	9751401.0
K9_ME_2_val_2	11647131.0	10230299.0
L10_ME_1_val_1	11555778.0	8874535.0
L10_ME_2_val_2	11316850.0	9113463.0
L11_ME_1_val_1	10738041.0	9236651.0
L11_ME_2_val_2	10232121.0	9742571.0
L12_ME_1_val_1	4845515.0	5724673.0
L12_ME_2_val_2	4748788.0	5821400.0
L13_ME_1_val_1	8261187.0	9278651.0
L13_ME_2_val_2	8086922.0	9452916.0
L14_ME_1_val_1	9144611.0	10392268.0
L14_ME_2_val_2	8703639.0	10833240.0
L15_ME_1_val_1	7280840.0	7296325.0
L15_ME_2_val_2	7171810.0	7405355.0
L16_ME_1_val_1	8282576.0	7673976.0
L16_ME_2_val_2	8126616.0	7829936.0
L17_ME_1_val_1	10103038.0	7523821.0
L17_ME_2_val_2	9909506.0	7717353.0
L18_ME_1_val_1	11889765.0	10651560.0
L18_ME_2_val_2	11653746.0	10887579.0
L19_ME_1_val_1	9407511.0	6852967.0
L19_ME_2_val_2	9204073.0	7056405.0
L1_ME_1_val_1	2490766.0	2208319.0
L1_ME_2_val_2	2432754.0	2266331.0
L20_ME_1_val_1	7829008.0	8302838.0
L20_ME_2_val_2	7634155.0	8497691.0
L21_ME_1_val_1	10142538.0	5818515.0
