Sample	Duplicate Reads	Unique Reads
G11_CKDL240007483-1A_22553JLT4_L7_2_val_2	3494310.0	4732004.0
G12_CKDL240007483-1A_22553JLT4_L7_1_val_1	4656918.0	6260229.0
G12_CKDL240007483-1A_22553JLT4_L7_2_val_2	4834934.0	6082213.0
G13_CKDL240007483-1A_22553JLT4_L7_1_val_1	4926780.0	3297431.0
G13_CKDL240007483-1A_22553JLT4_L7_2_val_2	5054783.0	3169428.0
G14_CKDL240007483-1A_22553JLT4_L7_1_val_1	6957424.0	4466194.0
G14_CKDL240007483-1A_22553JLT4_L7_2_val_2	7148413.0	4275205.0
G15_CKDL240007483-1A_22553JLT4_L7_1_val_1	5703063.0	3210080.0
G15_CKDL240007483-1A_22553JLT4_L7_2_val_2	5847993.0	3065150.0
G16_CKDL240007483-1A_22553JLT4_L7_1_val_1	5716023.0	3499124.0
G16_CKDL240007483-1A_22553JLT4_L7_2_val_2	5820109.0	3395038.0
G17_CKDL240007483-1A_22553JLT4_L7_1_val_1	4135545.0	5628569.0
G17_CKDL240007483-1A_22553JLT4_L7_2_val_2	4336703.0	5427411.0
G18_CKDL240007483-1A_22553JLT4_L7_1_val_1	3639606.0	5214072.0
G18_CKDL240007483-1A_22553JLT4_L7_2_val_2	3795694.0	5057984.0
G19_CKDL240007483-1A_22553JLT4_L7_1_val_1	4229146.0	6000893.0
G19_CKDL240007483-1A_22553JLT4_L7_2_val_2	4421760.0	5808279.0
G1_CKDL240007483-1A_22553JLT4_L7_1_val_1	4811360.0	5044964.0
G1_CKDL240007483-1A_22553JLT4_L7_2_val_2	4914913.0	4941411.0
G20_CKDL240007483-1A_22553JLT4_L7_1_val_1	3141082.0	4528013.0
G20_CKDL240007483-1A_22553JLT4_L7_2_val_2	3243742.0	4425353.0
G21_CKDL240007483-1A_22553JLT4_L7_1_val_1	4081709.0	7084996.0
G21_CKDL240007483-1A_22553JLT4_L7_2_val_2	4205333.0	6961372.0
G23_CKDL240007483-1A_22553JLT4_L7_1_val_1	5365855.0	7703552.0
G23_CKDL240007483-1A_22553JLT4_L7_2_val_2	5759903.0	7309504.0
G24_CKDL240007483-1A_22553JLT4_L7_1_val_1	3499277.0	6467339.0
G24_CKDL240007483-1A_22553JLT4_L7_2_val_2	3613575.0	6353041.0
G2_CKDL240007483-1A_22553JLT4_L7_1_val_1	3529201.0	4004499.0
G2_CKDL240007483-1A_22553JLT4_L7_2_val_2	3672178.0	3861522.0
G3_CKDL240007483-1A_22553JLT4_L7_1_val_1	4651468.0	4802967.0
G3_CKDL240007483-1A_22553JLT4_L7_2_val_2	4797794.0	4656641.0
G4_CKDL240007483-1A_22553JLT4_L7_1_val_1	3147346.0	3851672.0
G4_CKDL240007483-1A_22553JLT4_L7_2_val_2	3230972.0	3768046.0
G5_CKDL240007483-1A_22553JLT4_L7_1_val_1	6902827.0	3325190.0
G5_CKDL240007483-1A_22553JLT4_L7_2_val_2	7071378.0	3156639.0
G6_CKDL240007483-1A_22553JLT4_L7_1_val_1	6152953.0	3099696.0
G6_CKDL240007483-1A_22553JLT4_L7_2_val_2	6301778.0	2950871.0
G7_CKDL240007483-1A_22553JLT4_L7_1_val_1	5358312.0	3142774.0
G7_CKDL240007483-1A_22553JLT4_L7_2_val_2	5470876.0	3030210.0
G8_CKDL240007483-1A_22553JLT4_L7_1_val_1	4664696.0	3871884.0
G8_CKDL240007483-1A_22553JLT4_L7_2_val_2	4817422.0	3719158.0
G9_CKDL240007483-1A_22553JLT4_L7_1_val_1	4478342.0	6126573.0
G9_CKDL240007483-1A_22553JLT4_L7_2_val_2	4642675.0	5962240.0
H10_CKDL240007483-1A_22553JLT4_L7_1_val_1	2800326.0	4362989.0
H10_CKDL240007483-1A_22553JLT4_L7_2_val_2	2912525.0	4250790.0
H11_CKDL240007483-1A_22553JLT4_L7_1_val_1	3065310.0	4409843.0
H11_CKDL240007483-1A_22553JLT4_L7_2_val_2	3169929.0	4305224.0
H13_CKDL240007483-1A_22553JLT4_L7_1_val_1	5894226.0	3453227.0
H13_CKDL240007483-1A_22553JLT4_L7_2_val_2	6034679.0	3312774.0
H14_CKDL240007483-1A_22553JLT4_L7_1_val_1	5345070.0	3844628.0
H14_CKDL240007483-1A_22553JLT4_L7_2_val_2	5475414.0	3714284.0
